seed,Silhouette,CH,DB,MQ_graph,MoJoFM,TurboMQ,Cohesion,Coupling
22,0.220821662633971,45.6280831265151,1.98955463465122,0.122863221240497,0.232394366197183,0.307096736311015,0.0870059973896048,0.695930496380372
23,0.237858502092612,45.2431564812736,1.78324406152776,0.113220429340498,0.257042253521127,0.308513619105425,0.0788060084672091,0.713569650256342
24,0.229592897628403,47.7039908472041,1.8924003082115,0.127428886999321,0.253521126760563,0.297764959893926,0.0957947622783071,0.69929675201571
25,0.215256941326092,44.1353424034481,1.94698526873222,0.115477655148101,0.25,0.291387598686682,0.0935065261842631,0.709176269532076
26,0.23882585322702,42.3347230328968,1.90915347036048,0.102295079449439,0.257042253521127,0.311681388720216,0.0946629679323039,0.699611098291865
27,0.235600709802707,42.9222806327074,1.81148597730145,0.128179624784666,0.221830985915493,0.290651842944917,0.0831227153325779,0.719850824879127
28,0.239545945887005,48.0869326404365,1.82411773879046,0.11929434531047,0.23943661971831,0.309669275453698,0.0901893647549558,0.696194082183415
29,0.22017167690028,49.9955571449059,1.95954269336025,0.0951445322309513,0.21830985915493,0.274477745992326,0.0822115948887722,0.72847378128516
30,0.253379030193527,48.2638560030528,1.85967194298358,0.16999384367497,0.25,0.287468810418873,0.095381477303147,0.718690256720392
31,0.231868825404654,46.7456159946022,1.85106515347849,0.138648840675672,0.264084507042254,0.293380054204045,0.100918152944958,0.713027850657775
32,0.275268761270734,48.5791662257172,1.8228590047169,0.11899509377594,0.253521126760563,0.304025008285022,0.0923352898913244,0.696680164191496
33,0.257173591606233,51.6328159123876,1.84158451875342,0.106097580654677,0.267605633802817,0.298370873028694,0.0927380306881055,0.710129187166893
34,0.248489424012548,43.5944860519986,1.77029523557717,0.139908547402611,0.232394366197183,0.318224671830111,0.0992384204629889,0.68538084316261
35,0.233426285541434,46.7675485397976,1.87917488178306,0.145897128719246,0.25,0.295352907488287,0.10456857662416,0.723304787946244
36,0.238018340780074,48.7223725309688,1.84913987011382,0.159908427350914,0.267605633802817,0.283585177675035,0.119987197140279,0.717388755591626
37,0.241205806869811,48.838493358577,1.81091897876633,0.133022212756323,0.22887323943662,0.314724362140522,0.094052746576321,0.686963466687224
38,0.238293229557361,49.782272225083,1.87324161530375,0.167789796294063,0.28169014084507,0.266948640054333,0.11090819612178,0.742074916919381
39,0.260422361890793,49.7641102791086,1.82094527427617,0.0980007523609202,0.264084507042254,0.287842017205033,0.0890224429526712,0.721549855977187
